Name,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New recovered,Active Cases,Serious Cases,Total Tezts,Population
Panama,"978,181",,"8,470 ",,"962,280",,"7,431",16,"6,940,020","4,461,310 "
Latvia,"897,957",,"5,944 ",,"879,297",,"12,716",6,"7,530,042","1,841,266 "
Saudi Arabia,"813,376",,"9,293 ",,"800,553",,"3,530",42,"44,110,709","35,983,617 "
Azerbaijan,"812,248",,"9,805 ",,"798,867",,"3,576",,"7,147,186","10,336,323 "
Paraguay,"715,162",,"19,478 ",,"693,283",,"2,401",7,"2,657,506","7,321,554 "
Bahrain,"671,484",,"1,515 ",,"668,414",,"1,555",1,"10,274,373","1,829,211 "
Sri Lanka,"669,893",,"16,695 ",,"652,275",,923,,"6,486,117","21,606,894 "
Kuwait,"657,395",,"2,563 ",,"654,470",,362,3,"8,340,400","4,406,832 "
Dominican Republic,"638,500",,"4,384 ",,"632,911",,"1,205",19,"3,631,917","11,082,585 "
Palestine,"619,519",,"5,396 ",,"600,498",,"13,625",17,"3,078,533","5,357,288 "
Myanmar,"615,117",,"19,437 ",,"593,567",,"2,113",,"8,736,103","55,196,589 "
Estonia,"597,759",,"2,651 ",,"524,990",,"70,118",4,"3,504,375","1,328,459 "
Cyprus,"574,124",,"1,152 ",,"569,294",+516,"3,678",60,"9,572,310","1,226,318 "
Moldova,"569,088",,"11,725 ",,"504,142",,"53,221",49,"3,216,305","4,013,749 "
Venezuela,"542,397",,"5,796 ",,"534,821",,"1,780",36,"3,359,014","28,262,237 "
Egypt,"515,645",,"24,613 ",,"442,182",,"48,850",122,"3,693,367","106,498,790 "
Libya,"506,775",,"6,437 ",,"500,104",,234,101,"2,479,485","7,072,877 "
Ethiopia,"493,180",,"7,572 ",,"471,620",,"13,988",13,"5,202,940","121,107,941 "
Réunion,"456,141",,861 ,,"418,572",,"36,708",10,"1,603,660","909,094 "
Honduras,"453,443",,"10,972 ",,N/A,N/A,N/A,105,"1,499,738","10,244,478 "
Armenia,"434,398",,"8,655 ",,"421,316",,"4,427",,"3,184,464","2,975,187 "
Qatar,"428,791",,681 ,,"423,840",,"4,270",2,"3,862,771","2,807,805 "
Oman,"397,846",,"4,260 ",,"384,669",,"8,917",2,"25,000,000","5,386,856 "
Bosnia and Herzegovina,"395,630",,"16,049 ",,N/A,N/A,N/A,,"1,843,046","3,236,833 "
North Macedonia,"340,119",,"9,481 ",,"328,924",,"1,714",,"2,117,284","2,083,190 "
Kenya,"338,170",,"5,674 ",,"332,370",,126,1,"3,854,643","56,326,866 "
Zambia,"332,822",,"4,016 ",,"328,412",,394,1,"3,696,213","19,494,894 "
Albania,"329,017",,"3,581 ",,"320,970",,"4,466",,"1,941,032","2,871,022 "
Botswana,"325,864",,"2,778 ",,"322,955",,131,1,"2,026,898","2,454,074 "
Luxembourg,"284,931",,"1,114 ",,"275,850",,"7,967",,"4,381,286","647,950 "
Montenegro,"275,338",,"2,773 ",,"269,815",,"2,750",6,"2,596,326","628,237 "
Algeria,"270,272",,"6,878 ",,"181,907",,"81,487",6,"230,861","45,559,479 "
Nigeria,"263,526",,"3,148 ",,"257,343",,"3,035",11,"5,441,162","217,163,611 "
Zimbabwe,"256,708",,"5,593 ",,"250,965",,150,12,"2,480,422","15,329,720 "
Uzbekistan,"243,743",,"1,637 ",,"241,486",,620,23,"1,377,915","34,515,705 "
Mozambique,"230,076",,"2,219 ",,"227,709",,148,11,"1,371,127","33,144,921 "
Brunei ,"220,245",,225 ,,"219,561",,459,3,"717,784","446,516 "
Martinique,"218,764",,"1,035 ",,N/A,N/A,N/A,8,"828,928","374,638 "
Laos,"214,039",+114,757 ,,N/A,N/A,N/A,,"1,233,207","7,503,335 "
Kyrgyzstan,"205,716",,"2,991 ",,"196,406",,"6,319",131,"1,907,195","6,756,429 "
Iceland,"204,268",,179 ,,N/A,N/A,N/A,2,"1,993,053","346,020 "
El Salvador,"201,785",,"4,223 ",,"179,266",,"18,296",8,"2,610,114","6,556,795 "
Afghanistan,"192,906",,"7,777 ",,"171,519",,"13,610","1,124","1,066,354","40,819,968 "
Guadeloupe,"191,997",,986 ,,N/A,N/A,N/A,19,"938,039","400,272 "
Maldives,"184,856",,308 ,,"163,687",,"20,861",25,"2,213,831","561,085 "
Trinidad and Tobago,"178,964",,"4,139 ",,"168,956",,"5,869",18,"818,286","1,409,262 "
Uganda,"169,396",,"3,628 ",,"100,431",,"65,337",3,"3,012,408","48,858,140 "
Namibia,"169,253",,"4,065 ",,"164,813",,375,,"1,062,663","2,640,186 "
Ghana,"168,580",,"1,459 ",,"167,080",,41,2,"2,496,486","32,472,398 "
Jamaica,"149,763",,"3,254 ",,"96,514",,"49,995",,"1,168,888","2,989,043 "
Cambodia,"137,620",+24,"3,056 ",,"134,420",+26,144,,"3,047,051","17,218,160 "
Rwanda,"132,427",,"1,466 ",,"130,901",,60,,"5,749,152","13,644,984 "
Cameroon,"121,652",,"1,935 ",,"118,616",,"1,101",13,"1,751,774","27,971,634 "
Malta,"114,026",,801 ,,"112,700",,525,4,"2,043,292","444,079 "
Angola,"102,636",,"1,917 ",,"100,437",,282,,"1,499,795","35,072,375 "
Barbados,"100,973",,541 ,,"98,974",,"1,458",,"754,506","288,134 "
French Guiana,"93,586",,408 ,,"11,254",,"81,924",3,"650,106","315,386 "
DRC,"92,634",,"1,400 ",,"83,504",,"7,730",,"846,704","95,436,820 "
Channel Islands,"89,657",,198 ,,"89,125",,334,,"1,252,808","177,320 "
Senegal,"88,068",,"1,968 ",,"85,950",,150,,"1,146,543","17,695,997 "
Malawi,"87,856",,"2,676 ",,"84,919",,261,67,"610,123","20,196,558 "
Ivory Coast,"86,695",,819 ,,"85,802",,74,,"1,608,697","27,787,676 "
Suriname,"81,039",,"1,383 ",,"49,614",,"30,042",,"238,852","597,971 "
French Polynesia,"76,439",,649 ,,N/A,N/A,N/A,7,,"284,411 "
New Caledonia,"73,798",,314 ,,"73,032",,452,9,"98,964","291,419 "
Eswatini,"73,361",,"1,422 ",,"71,922",,17,11,"1,043,657","1,186,078 "
Guyana,"71,005",,"1,278 ",,"69,492",,235,,"687,557","794,738 "
Belize,"68,238",,680 ,,"67,346",,212,6,"576,016","413,202 "
